id,domain,function_name,task,role,params,algorithm,settings,supabase_tables,rls_policy,edge_function
22,channel_notifications,tg_channel_func_00022,"Implement channel_notifications workflow #22",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_1,edge_notifications_00022
23,channel_read_state,tg_channel_func_00023,"Implement channel_read_state workflow #23",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_2,edge_read_state_00023
24,channel_analytics,tg_channel_func_00024,"Implement channel_analytics workflow #24",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_3,edge_analytics_00024
25,channel_growth,tg_channel_func_00025,"Implement channel_growth workflow #25",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_4,edge_growth_00025
26,channel_advertising,tg_channel_func_00026,"Implement channel_advertising workflow #26",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_5,edge_advertising_00026
27,channel_monetization,tg_channel_func_00027,"Implement channel_monetization workflow #27",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_6,edge_monetization_00027
28,channel_premium,tg_channel_func_00028,"Implement channel_premium workflow #28",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_7,edge_premium_00028
29,channel_business,tg_channel_func_00029,"Implement channel_business workflow #29",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_1,edge_business_00029
30,channel_bot_api,tg_channel_func_00030,"Implement channel_bot_api workflow #30",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_2,edge_bot_api_00030
31,channel_webhooks,tg_channel_func_00031,"Implement channel_webhooks workflow #31",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_3,edge_webhooks_00031
32,channel_automation,tg_channel_func_00032,"Implement channel_automation workflow #32",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_4,edge_automation_00032
33,channel_ai_tools,tg_channel_func_00033,"Implement channel_ai_tools workflow #33",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_5,edge_ai_tools_00033
34,channel_translation,tg_channel_func_00034,"Implement channel_translation workflow #34",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_6,edge_translation_00034
35,channel_transcription,tg_channel_func_00035,"Implement channel_transcription workflow #35",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_7,edge_transcription_00035
36,channel_voice,tg_channel_func_00036,"Implement channel_voice workflow #36",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_1,edge_voice_00036
37,channel_live_streams,tg_channel_func_00037,"Implement channel_live_streams workflow #37",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_2,edge_live_streams_00037
38,channel_polls,tg_channel_func_00038,"Implement channel_polls workflow #38",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_3,edge_polls_00038
39,channel_quizzes,tg_channel_func_00039,"Implement channel_quizzes workflow #39",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_4,edge_quizzes_00039
40,channel_stories,tg_channel_func_00040,"Implement channel_stories workflow #40",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_5,edge_stories_00040
41,channel_topics,tg_channel_func_00041,"Implement channel_topics workflow #41",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_6,edge_topics_00041
42,channel_collections,tg_channel_func_00042,"Implement channel_collections workflow #42",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_7,edge_collections_00042
43,channel_playlists,tg_channel_func_00043,"Implement channel_playlists workflow #43",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_1,edge_playlists_00043
44,channel_catalog,tg_channel_func_00044,"Implement channel_catalog workflow #44",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_2,edge_catalog_00044
45,channel_integrations,tg_channel_func_00045,"Implement channel_integrations workflow #45",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_3,edge_integrations_00045
46,channel_crosspost,tg_channel_func_00046,"Implement channel_crosspost workflow #46",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_4,edge_crosspost_00046
47,channel_forwarding,tg_channel_func_00047,"Implement channel_forwarding workflow #47",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_5,edge_forwarding_00047
48,channel_signatures,tg_channel_func_00048,"Implement channel_signatures workflow #48",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_6,edge_signatures_00048
49,channel_content_protection,tg_channel_func_00049,"Implement channel_content_protection workflow #49",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_7,edge_content_protection_00049
50,channel_watermark,tg_channel_func_00050,"Implement channel_watermark workflow #50",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_1,edge_watermark_00050
51,channel_geo,tg_channel_func_00051,"Implement channel_geo workflow #51",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_2,edge_geo_00051
52,channel_localization,tg_channel_func_00052,"Implement channel_localization workflow #52",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_3,edge_localization_00052
53,channel_accessibility,tg_channel_func_00053,"Implement channel_accessibility workflow #53",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_4,edge_accessibility_00053
54,channel_theming,tg_channel_func_00054,"Implement channel_theming workflow #54",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_5,edge_theming_00054
55,channel_uiux,tg_channel_func_00055,"Implement channel_uiux workflow #55",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_6,edge_uiux_00055
56,channel_mobile,tg_channel_func_00056,"Implement channel_mobile workflow #56",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_7,edge_mobile_00056
57,channel_web,tg_channel_func_00057,"Implement channel_web workflow #57",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_1,edge_web_00057
58,channel_desktop,tg_channel_func_00058,"Implement channel_desktop workflow #58",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_2,edge_desktop_00058
59,channel_offline_sync,tg_channel_func_00059,"Implement channel_offline_sync workflow #59",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_3,edge_offline_sync_00059
60,channel_conflict_resolution,tg_channel_func_00060,"Implement channel_conflict_resolution workflow #60",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_4,edge_conflict_resolution_00060
61,channel_rate_limits,tg_channel_func_00061,"Implement channel_rate_limits workflow #61",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_5,edge_rate_limits_00061
62,channel_abuse_prevention,tg_channel_func_00062,"Implement channel_abuse_prevention workflow #62",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_6,edge_abuse_prevention_00062
63,channel_security,tg_channel_func_00063,"Implement channel_security workflow #63",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_7,edge_security_00063
64,channel_audit,tg_channel_func_00064,"Implement channel_audit workflow #64",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_1,edge_audit_00064
65,channel_compliance,tg_channel_func_00065,"Implement channel_compliance workflow #65",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_2,edge_compliance_00065
66,channel_retention,tg_channel_func_00066,"Implement channel_retention workflow #66",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_3,edge_retention_00066
67,channel_archiving,tg_channel_func_00067,"Implement channel_archiving workflow #67",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_4,edge_archiving_00067
68,channel_backup,tg_channel_func_00068,"Implement channel_backup workflow #68",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_5,edge_backup_00068
69,channel_restore,tg_channel_func_00069,"Implement channel_restore workflow #69",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_6,edge_restore_00069
70,channel_migrations,tg_channel_func_00070,"Implement channel_migrations workflow #70",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_7,edge_migrations_00070
71,channel_schema,tg_channel_func_00071,"Implement channel_schema workflow #71",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_1,edge_schema_00071
72,channel_rls,tg_channel_func_00072,"Implement channel_rls workflow #72",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_2,edge_rls_00072
73,channel_indexes,tg_channel_func_00073,"Implement channel_indexes workflow #73",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_3,edge_indexes_00073
74,channel_realtime,tg_channel_func_00074,"Implement channel_realtime workflow #74",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_4,edge_realtime_00074
75,channel_edge_functions,tg_channel_func_00075,"Implement channel_edge_functions workflow #75",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_5,edge_edge_functions_00075
76,channel_storage,tg_channel_func_00076,"Implement channel_storage workflow #76",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_6,edge_storage_00076
77,channel_cdn,tg_channel_func_00077,"Implement channel_cdn workflow #77",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_7,edge_cdn_00077
78,channel_cache,tg_channel_func_00078,"Implement channel_cache workflow #78",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_1,edge_cache_00078
79,channel_jobs,tg_channel_func_00079,"Implement channel_jobs workflow #79",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_2,edge_jobs_00079
80,channel_queue,tg_channel_func_00080,"Implement channel_queue workflow #80",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_3,edge_queue_00080
81,channel_observability,tg_channel_func_00081,"Implement channel_observability workflow #81",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_4,edge_observability_00081
82,channel_alerts,tg_channel_func_00082,"Implement channel_alerts workflow #82",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_5,edge_alerts_00082
83,channel_slo,tg_channel_func_00083,"Implement channel_slo workflow #83",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_6,edge_slo_00083
84,channel_testing,tg_channel_func_00084,"Implement channel_testing workflow #84",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_7,edge_testing_00084
85,channel_e2e,tg_channel_func_00085,"Implement channel_e2e workflow #85",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_1,edge_e2e_00085
86,channel_load_testing,tg_channel_func_00086,"Implement channel_load_testing workflow #86",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_2,edge_load_testing_00086
87,channel_chaos,tg_channel_func_00087,"Implement channel_chaos workflow #87",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_3,edge_chaos_00087
88,channel_release,tg_channel_func_00088,"Implement channel_release workflow #88",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_4,edge_release_00088
89,channel_feature_flags,tg_channel_func_00089,"Implement channel_feature_flags workflow #89",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_5,edge_feature_flags_00089
